True_Label,Predicted_Label,Count
1-one,1-one,277
2-two,1-one,7
3-three,1-one,3
4-open_close,1-one,6
5-rotate,1-one,2
7-victory,1-one,4
1-one,2-two,9
2-two,2-two,602
3-three,2-two,21
4-open_close,2-two,9
5-rotate,2-two,6
7-victory,2-two,24
1-one,3-three,15
2-two,3-three,21
3-three,3-three,583
4-open_close,3-three,7
5-rotate,3-three,5
7-victory,3-three,23
1-one,4-open_close,8
2-two,4-open_close,4
3-three,4-open_close,4
4-open_close,4-open_close,317
5-rotate,4-open_close,0
7-victory,4-open_close,4
1-one,5-rotate,1
2-two,5-rotate,1
3-three,5-rotate,1
4-open_close,5-rotate,2
5-rotate,5-rotate,310
7-victory,5-rotate,4
1-one,7-victory,13
2-two,7-victory,21
3-three,7-victory,15
4-open_close,7-victory,5
5-rotate,7-victory,5
7-victory,7-victory,555
