Feature,Importance
p17_y,0.13464032
p20_y,0.122703485
p12_y,0.115490615
p15_y,0.0859985
p12_x,0.049833767
p8_y,0.042330656
p4_x,0.040727902
p14_y,0.034123845
p7_y,0.032376215
p8_x,0.03202482
p18_y,0.025310107
p3_x,0.024346516
p1_y,0.019073041
p3_y,0.018833917
p11_x,0.018741172
p13_y,0.018692803
p16_y,0.017196592
p11_y,0.014912167
p19_y,0.0148145165
p6_y,0.010186279
p4_y,0.010148475
p2_x,0.008995289
p10_y,0.008824498
p20_x,0.00823967
p9_y,0.008156191
p5_x,0.008028315
p16_x,0.007280499
p5_y,0.0065572676
p10_x,0.0064123045
p7_x,0.0062618894
p14_x,0.0054974062
p19_x,0.0053890664
p17_x,0.005376584
p6_x,0.005220721
p15_x,0.005192383
p18_x,0.0046793004
p2_y,0.004654278
p1_x,0.00453273
p9_x,0.00419188
p13_x,0.0040039774
p0_x,0.0
p0_y,0.0
