Frame_ID,Time_YOLO_ms,Time_MediaPipe_ms,Time_Model_ms,Num_Persons,BBox_Area,Target_Confidence,FPS,Total_Latency_ms
0,971.79,40.42,54.04,1,138203.22,0.9081,0.9,1068.14
1,977.55,32.41,12.09,1,166118.78,0.9972,1.0,1022.16
2,912.54,31.35,10.66,1,133534.83,0.9969,1.0,954.66
3,905.44,31.14,11.38,1,187092.39,0.9996,1.1,948.13
4,927.91,32.0,11.62,1,58252.61,0.9985,1.0,971.66
5,920.1,31.75,9.5,2,173733.88,0.4735,1.0,961.47
6,891.09,46.26,13.44,1,45915.98,0.9966,1.1,950.95
7,920.46,31.83,9.53,1,206135.38,0.9676,1.0,961.98
8,909.93,29.05,10.35,1,275176.0,0.986,1.1,949.5
9,925.33,44.02,9.05,1,149510.5,0.976,1.0,978.62
10,924.62,42.71,10.62,1,91913.62,0.9936,1.0,978.1
11,910.97,16.93,0.0,1,180676.05,0.0,1.1,927.98
12,917.13,30.86,11.11,1,90845.02,0.9988,1.0,959.22
13,934.71,30.74,11.22,1,153657.91,0.3592,1.0,976.86
14,919.61,34.48,13.54,1,188367.83,0.9975,1.0,967.78
15,930.4,30.46,11.82,1,115553.03,0.9994,1.0,972.8
16,934.76,28.04,10.3,1,164578.2,0.9985,1.0,973.26
17,880.28,30.61,13.11,1,171028.22,0.9983,1.1,924.11
18,912.08,30.62,9.2,1,185437.31,0.9985,1.1,952.06
19,903.44,45.12,12.5,1,148741.91,0.9479,1.0,961.23
20,982.0,18.52,0.0,1,187568.69,0.0,1.0,1000.6
21,1164.79,36.44,12.81,1,72837.11,0.9983,0.8,1214.39
22,1062.8,48.16,11.02,1,93132.46,0.9993,0.9,1122.14
23,925.63,30.88,11.94,1,151604.91,0.9928,1.0,968.61
24,974.64,44.39,11.93,1,54822.33,0.8255,1.0,1031.14
25,1011.05,43.58,15.18,1,161068.3,0.9974,0.9,1070.01
26,2942.78,99.15,23.95,1,115582.31,0.9975,0.3,3066.12
27,2752.48,40.22,0.0,1,215868.53,0.0,0.4,2792.81
28,2551.36,74.8,23.94,1,76807.56,0.9738,0.4,2650.34
29,2904.01,70.88,24.01,1,137334.83,0.6145,0.3,2999.09
30,2494.21,69.45,22.88,1,178220.09,0.9954,0.4,2586.71
31,2631.35,38.56,0.0,2,52722.75,0.0,0.4,2670.03
32,2552.83,69.16,23.76,1,107941.95,0.9959,0.4,2645.91
33,2578.46,98.9,23.83,1,162032.06,0.9982,0.4,2701.39
34,1874.38,37.4,0.0,1,134801.16,0.0,0.5,1911.99
35,1010.48,33.75,13.33,1,104229.66,0.9926,0.9,1057.73
36,1074.52,31.46,11.88,1,101723.95,0.9983,0.9,1117.99
37,977.87,30.57,11.23,3,53033.09,0.9963,1.0,1019.8
38,1048.84,31.26,9.88,1,152934.11,0.9994,0.9,1090.09
39,956.17,33.28,11.04,1,93064.53,0.9988,1.0,1000.64
40,958.54,42.24,10.75,1,73271.02,0.9993,1.0,1011.62
41,927.86,32.01,11.52,1,134773.06,0.4956,1.0,971.55
42,951.82,42.3,11.8,1,115021.42,0.9926,1.0,1006.06
43,933.9,31.51,0.0,1,172466.48,0.0,1.0,965.51
44,934.86,47.41,10.99,1,96624.51,0.9987,1.0,993.4
45,903.69,29.05,11.06,1,89958.26,0.9956,1.1,943.92
46,925.05,18.94,0.0,1,110063.05,0.0,1.1,944.06
47,905.06,32.1,11.17,1,69789.51,0.9614,1.1,948.45
48,927.38,42.81,9.45,1,143279.03,0.9966,1.0,979.75
49,920.37,29.04,11.06,1,186348.23,0.9987,1.0,960.6
50,902.11,31.87,11.23,1,85679.06,0.3443,1.1,945.39
51,893.53,29.96,10.48,1,93645.41,0.9706,1.1,934.34
52,918.96,42.22,11.36,1,82501.57,0.4229,1.0,972.77
53,885.33,43.77,10.85,1,160521.11,0.2482,1.1,940.03
54,956.67,32.59,11.47,1,58248.91,0.9987,1.0,1000.93
55,923.65,45.18,10.47,1,149816.09,0.9951,1.0,979.42
56,900.26,30.09,10.77,1,123064.19,0.4559,1.1,941.24
57,915.53,44.68,10.4,1,58167.57,0.9097,1.0,970.79
58,969.01,43.86,12.44,1,89600.96,0.9925,1.0,1025.45
59,957.65,31.65,9.28,1,125897.27,0.9819,1.0,998.73
60,917.46,30.28,9.78,1,183257.5,0.9962,1.0,957.64
61,908.4,42.5,10.22,1,125184.6,0.4816,1.0,961.31
62,887.36,43.27,10.51,1,156476.62,0.543,1.1,941.24
63,914.15,37.84,17.37,1,103387.02,0.998,1.0,969.5
64,904.44,30.31,9.7,1,177382.56,0.9874,1.1,944.62
65,948.14,30.44,10.94,1,252887.52,0.9961,1.0,989.62
66,896.14,48.65,10.8,1,107062.06,0.9972,1.0,955.69
67,1132.66,30.96,10.65,1,124974.16,0.9956,0.9,1174.4
68,935.56,33.21,11.43,1,135030.48,0.9958,1.0,980.37
69,942.42,32.85,11.15,2,168903.03,0.9975,1.0,986.6
70,913.52,32.29,10.52,1,213516.55,0.9982,1.0,956.51
71,925.86,30.89,15.49,1,115831.63,0.9988,1.0,972.41
72,907.0,31.34,10.08,1,120011.28,0.9977,1.1,948.55
73,919.43,33.07,15.83,1,127136.57,0.9985,1.0,968.5
